id,城市,市区,标题,户型,面积,方位,楼层,时间,所属小区,所属区域,总价,均价,房龄
2131,fuzhou,晋安,前横路地铁二号线四号线前屿站 次新社区 东端头 南北通透！,3 室 2 厅 1 卫,91㎡,南北,高层(共23层),2024年建造,凤翔佳园,晋安 福马路 长春路1号,169万,18572元/㎡,2024年建造
2132,fuzhou,晋安,东二环 近医院 中间楼层 交通便捷 近地铁 双卫 小三居,3 室 2 厅 2 卫,90.15㎡,南北,中层(共19层),2024年建造,蓝光里,晋安 东二环 横屿路,145万,16085元/㎡,2024年建造
2133,fuzhou,台江,急售！望熙雅筑高层东端头 社区中心看花园 诚意出价格可以谈,3 室 2 厅 2 卫,105㎡,南北,中层(共34层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,200万,19048元/㎡,2025年建造
2134,fuzhou,晋安,正规商品房 电梯房 次新房 朝南 小三房 出行方便 动静分离,3 室 2 厅 2 卫,83㎡,南,高层(共18层),2025年建造,国贸保利和颂锦原,晋安 五四北 坂中路,185万,22290元/㎡,2025年建造
2135,fuzhou,台江,苏宁广场，宝龙广场，富力中心，东南卫视，高层带电梯看房随时看,3 室 1 厅 1 卫,89.6㎡,南北,高层(共20层),2026年建造,榕发望熙雅筑A区,台江 万宝 交通西路,200万,22322元/㎡,2026年建造
2136,fuzhou,仓山,近万达 金山 紫金九号 仓山万达旁 精装 可谈,3 室 2 厅 2 卫,96.41㎡,南北,低层(共23层),2024年建造,大名城紫金九号,"仓山 浦上大道 建新中路,近凤冈路",216万,22405元/㎡,2024年建造
2137,fuzhou,晋安,前屿双地铁 23年次新商品房 交通商业配套成熟 价格可谈,3 室 2 厅 1 卫,87.42㎡,南北,中层(共27层),2024年建造,旭辉公元大观,晋安 五里亭 长春路55号,176万,20133元/㎡,2024年建造
2138,fuzhou,台江,台江万象城2026年人车分离花园小区榕发望熙本店100多套售,3 室 2 厅 1 卫,105㎡,南北,中层(共33层),2024年建造,榕发望熙雅筑A区,台江 万宝 交通西路,213万,20286元/㎡,2024年建造
2139,fuzhou,仓山,单价2.2万购，白湖亭纯商洋楼，电梯高层，毛坯四房，一梯一户,4 室 2 厅 2 卫,114.02㎡,南北,低层(共15层),2025年建造,建总江南尚璟,仓山 连江南路 东藤路,260万,22804元/㎡,2025年建造
2140,fuzhou,台江,南向采光好 高楼层采光充足 商业配套成熟 有电梯 近地铁,3 室 1 厅 1 卫,90㎡,南,高层(共32层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,195万,21667元/㎡,2025年建造
2141,fuzhou,台江,台江市中心 宝龙万象    25年新房 高层 视野无遮挡,3 室 2 厅 1 卫,88.39㎡,南北,高层(共24层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,169万,19120元/㎡,2025年建造
2142,fuzhou,台江,望熙雅筑A区 3室2厅2卫,3 室 2 厅 2 卫,105㎡,东南,高层(共34层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,215万,20477元/㎡,2025年建造
2143,fuzhou,台江,一手跟单 望熙雅筑 电梯高层 朝南户型 3房 有证 看房方便,3 室 2 厅 1 卫,89.6㎡,南,中层(共32层),2026年建造,榕发望熙雅筑A区,台江 万宝 交通西路,150万,16742元/㎡,2026年建造
2144,fuzhou,台江,望熙雅筑A区 3室2厅2卫,3 室 2 厅 2 卫,90㎡,南北,高层(共29层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,160万,17778元/㎡,2025年建造
2145,fuzhou,仓山,首开榕耀之城，城门板块双地铁口，端户三房，纯商品房，业主急售,3 室 2 厅 2 卫,89.27㎡,南北,低层(共13层),2025年建造,首开融创榕耀之城B区,仓山 福峡路 螺城路48号,119万,13331元/㎡,2025年建造
2146,fuzhou,台江,东端头！    ！    ！南北通透！3房2卫，双阳台！,3 室 2 厅 2 卫,104㎡,南北,高层(共34层),2026年建造,榕发望熙雅筑A区,台江 万宝 交通西路,198万,19039元/㎡,2026年建造
2147,fuzhou,晋安,新出!鲁能公馆三期 电梯高层 精装三房拎包入住 看房密码诚售,3 室 2 厅 2 卫,110㎡,南北,高层(共20层),2024年建造,鲁能公馆三期,晋安 新店 南平东路90号,233万,21182元/㎡,2024年建造
2148,fuzhou,台江,新出！万宝商圈 全新社区望熙雅筑电梯3房端头户型居住密度低,3 室 2 厅 1 卫,90.01㎡,南北,高层(共29层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,166万,18443元/㎡,2025年建造
2149,fuzhou,台江,望熙雅筑A区 3室2厅1卫,3 室 2 厅 1 卫,88.72㎡,西南,高层(共29层),2025年建造,榕发望熙雅筑A区,台江 万宝 交通西路,178万,20064元/㎡,2025年建造
